file	label	intervaldID	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	CPP
a2_01_elefant_w26.wav	a:	39	3.668	262.10890015149505	917.934	1425.214	2807.277	104.84088642181999	97.00924095632502	94.93765032912158	84.14314785686214	91.40841066172021	111.0142746524395	92.56637941219464	73.0306052119849	30.086
a2_02_dompfaff_w26.wav	u:	40	3.793	495.93465384828886	506.375	1091.162	2355.628	73.58619959274313	84.26414232764827	79.24776999329201	58.89363231846919	86.65386577035493	74.64078851012798	59.09441248957381	48.58330969197646	5.461
a2_02_dompfaff_w26.wav	i:	41	4.761	425.9564181540847	472.242	1140.007	2841.596	78.41551937245691	80.1021743063417	74.88447337672025	59.57368306646984	72.68194925365071	90.9051581395064	58.598636254790804	51.855544067729944	14.714
a2_02_dompfaff_w26.wav	a:	42	5.175	384.03888614712986	633.451	1063.784	2800.644	90.33842930792483	72.92463005213799	78.88710351485825	63.39035601533475	77.67180070610544	67.19442913092215	71.83379855099732	44.004491761970776	16.984
a2_03_gecko_w26.wav	u:	43	4.197	348.97180246769227	359.045	1391.268	2771.484	94.735205967638	91.0986685952486	93.11580610368813	93.94428282252633	93.02616888345798	106.19039196252727	76.84018944148556	59.64630066553919	19.232
a2_03_gecko_w26.wav	i:	44	5.133	302.7747905610968	303.932	1130.29	2721.394	115.30616653887782	89.89735324976476	82.03934990075899	115.31620844089869	79.7662173502073	92.91674555334492	57.706669557381495	63.84775992706813	15.84
a2_03_gecko_w26.wav	a:	45	5.526	280.4390106372223	314.094	1860.161	2529.839	101.93847549318255	95.07394737801792	106.97658069048323	101.89472981878177	93.89241635279484	78.42438431518649	82.95286124266825	54.666983517893335	9.11
a2_04_kleinerbagger_w26.wav	u:	46	4.962	290.0464612194999	300.704	2292.212	3099.351	93.45661876026062	102.58763449144605	111.91780798940198	88.63319895854303	79.0561968295701	78.02608623265624	75.39986461355679	58.93193859582722	14.289
a2_04_kleinerbagger_w26.wav	i:	47	6.258	298.2184069042054	277.655	1245.775	2744.18	102.18523549530147	74.00931322423273	72.04016906582642	101.95200702811051	72.75941040870953	106.85976624232154	56.72764892570845	60.2079040271193	10.614
a2_04_kleinerbagger_w26.wav	a:	48	7.301	254.2056907136582	803.53	1549.574	2915.098	105.47475006159081	95.01847640381843	96.10824537057049	94.00136121247635	88.17280965651528	85.18798970174548	79.84214691964507	54.19885396170609	15.61
a2_05_igel_w26.wav	u:	49	1.518	327.8007950738998	357.712	1583.644	2640.409	100.66610284253905	97.36039825732813	101.62182463454752	92.05559946989442	75.05379008842235	102.4240628791307	73.30209690232094	61.29665062561892	17.492
a2_05_igel_w26.wav	i:	50	2.274	273.49163855893596	279.871	892.254	2812.793	117.98396587324964	98.42713498657653	81.82950679000787	118.02725069046497	92.61954036272004	102.37223200868789	52.484785448000046	61.46599626213331	12.42
a2_05_igel_w26.wav	a:	51	2.711	259.03874723850856	815.34	1789.232	2834.672	107.35416867597584	97.32646834685862	94.77780168390622	76.09459210464931	93.80385353838065	95.5861242113221	98.55282295528056	62.075328993791885	13.691
a2_06_kondor_w26.wav	u:	52	4.593	328.6147296771004	369.355	1068.427	2759.573	101.58798449834308	95.80670082554909	99.09263114196563	99.42630358737122	93.04772342027142	100.50071053887488	87.95803571252712	64.7813310046877	11.165
a2_06_kondor_w26.wav	i:	53	5.574	292.43786078869965	299.875	1626.679	2701.299	99.21216523075563	94.46476288124687	97.27233224611314	99.1621300797458	98.58354601455633	91.77771050606884	72.66952847536373	70.49330520715276	10.633
a2_06_kondor_w26.wav	a:	54	6.454	252.58880165112282	890.459	1689.541	2839.809	106.6912205562039	99.90088809244125	104.6188241142171	103.84122090621833	95.47878500869149	90.7068189465457	99.60761558137702	54.36515224442421	18.4
a2_07_armbanduhr_w26.wav	u:	55	1.823	293.01624894868945	302.642	1047.124	2894.805	89.12552432233255	95.94611560542816	92.84123977218732	86.81975376113266	85.50272159519855	84.72407817672831	48.59236497310059	48.450225120581074	12.396
a2_07_armbanduhr_w26.wav	i:	56	3.303	290.27150931072794	290.361	1393.52	2770.108	111.53603430673036	78.24077830781654	75.07820829276967	111.53681477882489	72.73412100071909	94.14214555458149	54.82419118728533	59.161214439757835	10.104
a2_07_armbanduhr_w26.wav	a:	57	4.176	264.66135983067124	981.131	1622.499	2825.924	102.08394561105173	84.90443874890656	47.10378844243914	63.56166896082606	43.31244735621254	66.28023557674416	66.07416271947375	54.46935019759536	12.668
a2_08_handtrommel_w26.wav	u:	58	4.136	260.83878583148555	287.267	995.156	2688.796	66.11450055590706	61.33065619896091	68.23624972228163	51.49409832078972	72.46019987208308	93.98399507396157	49.37053822867021	47.19240544946516	4.199
a2_08_handtrommel_w26.wav	i:	59	6.221	258.53162635807087	1620.965	2867.584	3933.091	87.87173111104352	53.29706161237092	39.710614857606565	37.53248420623291	53.76520811351729	62.857979458785096	49.6953407906784	48.95492914882182	5.011
a2_08_handtrommel_w26.wav	a:	60	7.072	258.0741109986328	922.802	1502.042	3024.216	108.18515604230045	98.27984825869896	91.9280984527905	101.23729208040854	75.1988805467749	94.24838757314808	90.67058816491885	65.08885532564146	13.845
a2_09_industriebackofen_w26.wav	u:	61	5.732	264.3165224617014	291.381	953.26	2844.999	100.33428755801759	98.39282641199901	82.18440035779766	99.2935383219191	76.58485859802828	92.16556820267148	66.45077432132612	62.55278951739203	12.555
a2_09_industriebackofen_w26.wav	i:	62	8.328	270.72347417041146	252.301	1596.831	2758.762	91.3175180637863	81.86240540865279	72.11747334565477	90.088799649877	62.406948291107625	89.21332840671495	52.390088639500696	55.10145304006553	0.885
a2_09_industriebackofen_w26.wav	a:	63	9.878	254.3493933118279	918.784	1510.17	3036.661	106.90858245026271	98.47045748433537	99.03866457732893	99.75103814392183	76.74459880592623	71.43757790685771	76.48115616974474	51.61305305701277	14.087
a2_10_kirchenglocke_w26.wav	u:	64	3.678	275.99817258559085	290.95	1097.786	3008.125	94.59577497447953	101.5913258542471	89.4291582380565	87.19875638911708	89.2718867006126	97.37981216775432	60.617353823902576	49.12978251750598	5.136
a2_10_kirchenglocke_w26.wav	i:	65	5.184	266.95639206741225	267.091	1462.277	2902.379	102.67292347481308	80.51601947231202	74.73464591354849	102.67476349342442	69.55577921000611	93.6729729278889	52.800858327804924	57.2819099435153	9.482
a2_10_kirchenglocke_w26.wav	a:	66	6.235	266.70199271497137	883.176	1783.95	3107.451	84.55993325265189	51.99939690763856	41.2934633188507	43.4361131460969	45.526927018052504	60.70531771990422	49.75675808565719	49.58502396565581	7.953
a2_11_jumbojet_w26.wav	u:	67	3.695	274.41668250712166	376.983	1101.764	2763.755	110.45133297604146	104.22864063017465	96.83937393011877	99.77400413258138	96.90855439009263	93.19020779709525	59.96404100108056	50.60225567269815	14.436
a2_11_jumbojet_w26.wav	i:	68	6.368	261.119420225384	265.869	1302.311	2623.706	110.99985747976912	97.89375338521785	84.30148895543272	111.04837222321306	72.48382862161793	112.75327446632292	67.44712368589556	61.65863356333172	17.587
a2_11_jumbojet_w26.wav	a:	69	7.376	242.20785094991155	979.604	1573.672	2913.177	109.82445737647473	104.51503262196898	91.54173944180664	91.44277916252037	82.07024643247803	97.9808438226298	86.85049371926517	58.407008556992295	19.657
a2_12_krokodil_w26.wav	u:	70	3.025	286.6312270545945	351.517	1195.436	2741.842	108.85441239476766	105.86511935986638	96.3743227244791	106.84863710042922	94.28181560968538	105.64913216666075	75.45357228086844	61.55999861558744	18.01
a2_12_krokodil_w26.wav	i:	71	4.516	290.23359693885556	278.59	1061.998	2754.766	112.56367588212606	79.333086891883	81.49346289822722	112.4389301366854	80.55975036727831	110.92318168392886	63.35067619316392	73.22920866776145	7.605
a2_12_krokodil_w26.wav	a:	72	5.557	259.33441859538516	978.303	1654.178	3508.065	109.00256485179278	99.0555524295039	73.86660143395807	76.24743356187908	65.06690460586512	78.67958591662324	79.67598278515153	65.35932278358393	17.415
a3_01_schildkroete_m22.wav	u:	73	4.174	50.255234993105226	375.957	2132.31	3734.05	64.91553158547114	85.6411144071682	95.30882645928591	78.16811243013598	79.6543535752413	73.64223508443042	56.14483818614011	39.19286031816699	2.417
a3_01_schildkroete_m22.wav	i:	74	7.164	135.32904440141058	268.184	1961.196	3054.777	99.27660400151775	89.10828826397565	87.15237346226864	89.05949116141691	80.59382871872191	85.26648875913833	71.59551064049562	80.62813876941331	23.315
a3_01_schildkroete_m22.wav	a:	75	8.253	51.09226986678852	646.339	1224.368	2544.389	80.05964923895674	85.2130449644081	97.7101846622702	97.56504020481253	101.39572623021193	104.50270279857867	61.54968020620032	45.47442789476766	22.116
a3_02_SUV_m22.wav	u:	76	3.067	115.51482319773295	808.316	2268.571	3511.858	110.08621637106805	103.30530646195545	85.54858816227888	59.04838876294963	46.79953487979988	63.39849766527393	54.12641283697029	52.989489353499536	16.827
a3_02_SUV_m22.wav	i:	77	4.153	111.789122330161	296.661	1720.134	2761.803	110.20236354820369	107.77373832132594	91.08796579656942	110.07435417004194	83.52919617818445	91.13334031713723	66.55891895665023	55.16445311924045	22.356
a3_02_SUV_m22.wav	a:	78	4.634	104.73165151728539	448.985	1021.345	2401.75	103.633193296905	94.95698342785164	84.48298702485454	82.51131914234224	77.41617442413117	87.10689503668785	65.12118569606888	50.62177194914602	3.276
a3_03_kaninchen_m22.wav	u:	79	2.035	205.83583069731304	353.83	1013.856	2663.896	120.92451787059971	115.30539895013675	104.2683338250938	114.42566988896004	110.11854028609477	111.2069566633852	71.49465867803282	59.55082506747425	22.131
a3_03_kaninchen_m22.wav	i:	80	2.859	179.57586578963452	260.314	2592.904	3719.505	114.87046032134693	108.54765747308971	106.51584278715882	98.42332446041476	119.45145298032774	114.53864664612941	78.78877044660699	73.38362477704922	19.046
a3_03_kaninchen_m22.wav	a:	81	3.104	129.4050466204656	771.69	1641.01	2414.282	110.42833033545463	103.83351465911518	101.42502759031746	89.26168768831836	80.09424220361376	92.23654557581246	83.99334759766866	75.61695295730188	20.018
a3_04_blaumeise_m22.wav	u:	82	1.232	527.3211067352846	527.841	1937.159	3700.656	94.89259317318192	108.85820711369303	91.27448795694349	94.88625090681784	87.69547228828567	115.67309751738749	87.0027591791034	61.87004849072434	13.977
a3_04_blaumeise_m22.wav	i:	83	2.058	413.13805256630826	418.81	2506.263	3355.309	119.32619853803905	100.59563424315363	78.27321354254624	119.37103970659206	99.04967246384689	100.98272300990534	81.89871768878318	72.52334723058608	13.876
a3_04_blaumeise_m22.wav	a:	84	2.355	288.0797224277524	821.078	1747.557	2731.12	110.44571750018964	110.2712748205042	109.1610644259958	102.06879603179249	108.1791218888713	96.57445638542073	107.48908070040385	61.69673195646523	18.186
a3_05_wanduhr_m22.wav	u:	85	3.083	--undefined--	685.143	2448.549	3670.775	--undefined--	--undefined--	--undefined--	-0.4165561871160719	7.31971788794209	11.14594734275469	0	0	7.696
a3_05_wanduhr_m22.wav	i:	86	5.609	134.04579778924662	341.984	2046.199	3371.7	106.26391176391061	98.9044505979262	72.54051848282323	99.36823616577223	81.92486639028132	104.5726245964157	66.74102380275392	64.95382693928022	2.824
a3_05_wanduhr_m22.wav	a:	87	6.841	120.14663074400617	549.981	1075.178	2703.67	104.72791288690314	98.2386137656107	90.08631261697367	96.93422206056455	91.72819173184332	81.11210992831585	55.335431516161435	48.804289701723334	21.259
a3_06_kleinflugzeug_m22.wav	u:	88	1.535	124.82181922506264	376.689	1031.609	2277.615	104.18371541121206	100.1493320404472	96.08946825382192	95.6493291536423	97.47161473503559	87.94426023181526	67.53947365075817	52.056655737404036	21.716
a3_06_kleinflugzeug_m22.wav	i:	89	2.496	125.63677215626711	404.127	2270.278	3138.148	107.54636052433801	104.77104863184971	97.06520762078078	105.11195209513578	72.86742687012442	79.36777979841261	74.17326136923356	57.465268838471275	23.626
a3_06_kleinflugzeug_m22.wav	a:	90	2.781	124.09558676679784	617.948	1203.64	2328.073	105.54917379273076	99.99598887410849	99.65615238190146	91.80912220262152	82.61521347330836	90.79216518938016	65.97644134607717	57.4763283479937	22.229
a3_07_gloeckchen_m22.wav	u:	91	1.829	312.53417071673545	389.814	2229.644	3384.895	101.24699083699818	94.86645671200941	91.44822475750685	98.51962271094692	71.76133942803182	95.99962993248174	69.8360131360227	65.92724221782716	13.803
a3_07_gloeckchen_m22.wav	i:	92	2.961	305.69727331789517	319.812	2314.106	3191.174	91.53712835674345	98.74297803966171	77.73369033875088	86.01653148009626	106.00228086510452	110.0022165468588	78.07326514637674	54.52851163454092	13.568
a3_07_gloeckchen_m22.wav	a:	93	3.488	305.13312772387815	626.088	1398.644	2411.238	113.16712366378636	97.1507115443255	112.10429219159204	95.72768129586242	112.15404641192956	108.06482446783338	85.04461836851897	66.71455525363527	23.167
a3_08_drucker_m22.wav	u:	94	2	129.71373723281317	364.412	2330.207	3970.731	105.2624363262087	102.12696590458813	85.62805802511558	94.7256537070054	65.5605891978604	94.27619750547046	69.84627721458324	48.38615559385991	21.091
a3_08_drucker_m22.wav	i:	95	3.649	128.95917682831725	274.931	1964.304	3302.083	104.99940975430582	100.3347962972029	91.27149560540849	100.28287010937495	100.07267638648658	112.30351701497494	79.39840905772775	49.99132489152302	2.719
a3_08_drucker_m22.wav	a:	96	4.309	127.30081714706874	585.225	1066.951	2609.527	106.1570525102228	101.40574608290342	94.08920789784366	90.50673500318388	93.87628450338212	91.10946915104545	65.17628342855286	49.23177938298724	27.796
a3_09_komodowaran_m22.wav	u:	97	2.044	115.99158569632267	422.82	1569.911	3762.223	104.68445366197092	97.89422514975257	101.87701660618178	100.34094406931196	92.41423269993737	100.88997442320249	86.97968467297385	51.95191502616737	0.865
a3_09_komodowaran_m22.wav	i:	98	3.351	116.46918810292219	330.109	1697.475	2086.972	107.23950885352164	102.47240287843087	98.85892468225857	96.53868205000842	110.92354582511523	98.29487183174645	75.1217537780278	51.41366386634989	21.777
a3_09_komodowaran_m22.wav	a:	99	3.754	109.29878258989908	605.481	1031.805	3421.055	105.90892918596941	105.51834576891542	99.90314850766983	97.19434417949425	96.51331645143294	123.09000763785275	88.13308371785295	53.013691817896806	25.852
a3_11_baer_m22.wav	u:	100	1.141	144.87349835095998	792.769	2216.482	3433.109	109.25860922283859	108.41003797202886	79.61670443094289	67.37793623586809	54.876608938894236	71.49654664320583	58.011186066449	49.43924323026506	1.96
a3_11_baer_m22.wav	i:	101	2.085	131.63254197357264	254.31	1754.005	2725.83	107.28362130382925	101.74480586819412	90.83327763813176	101.54544112753769	98.66382989730434	107.72449621239679	67.50411855049852	63.23237991635648	4.036
a3_11_baer_m22.wav	a:	102	2.471	116.47064283200729	477.569	1071.067	2377.441	102.82813641974059	96.15519432602065	102.54965483451679	102.5401969159434	96.23941054054688	72.96179008548316	71.38090881981182	51.508197454666174	22.19
a3_12_kontrabass_m22.wav	u:	103	3.509	140.12992601489458	269.684	1190.634	2303.114	103.48179995815607	86.82722424820165	84.55611700743782	86.05039361846136	89.07318803432743	78.58348712141571	58.8145012622573	55.93727263057489	16.043
a3_12_kontrabass_m22.wav	i:	104	5.731	130.07737766540785	238.665	1874.921	2571.39	105.26150109330884	93.1939908963626	83.6641769454892	91.67595925665965	86.6189096901347	108.85226189703945	65.07156299110291	76.67398458372777	6.41
a3_12_kontrabass_m22.wav	a:	105	6.714	126.99931143396063	479.353	755.306	2446.953	106.9922029460769	101.85236039792339	97.2634237201081	106.28587950068649	80.52456943554309	124.62791323060637	82.00380527425008	49.666830445280965	-1.442
b1_01_SUV_w20.wav	u:	106	0.9	240.76345338034972	404.214	1740.199	2953.699	105.34916453221305	88.25867068366698	77.3138329420612	80.96189827302223	86.78058934125325	92.82519182629005	71.49017848967644	63.29324854638537	12.624
b1_01_SUV_w20.wav	i:	107	1.392	213.97046334553377	375.409	2496.806	3143.097	112.25749536054713	98.41614194600231	88.95413952909506	97.20209727705357	92.98116300218487	78.06123714903143	69.59137567725588	53.018681718465395	13.031
b1_01_SUV_w20.wav	a:	108	1.667	197.22561822367535	920.804	1790.338	2743.322	110.74007101986435	101.25256891449193	98.2776714810804	96.63684618319482	85.39917452680191	96.78693231411717	87.66368337549335	70.2194648786175	20.148
b1_02_anakonda_w20.wav	u:	109	2.738	245.7572526381329	400.461	1729.799	2700.005	108.7173056182929	97.5793759300278	87.78215546747091	86.68722447207351	87.11680761503848	94.84832819294972	87.09243545496192	58.1667492437696	18.458
b1_02_anakonda_w20.wav	i:	110	3.508	214.25722514782365	271.121	2713.161	3405.229	114.80757897840371	105.36702169563799	95.7834670869598	114.2364891926216	85.37986794216036	91.22501591210428	64.22248466899224	52.791943280207065	15.608
b1_02_anakonda_w20.wav	a:	111	3.859	195.07896779271576	898.063	1544.326	2779.05	109.7962576517167	99.04248771058121	93.80987446492301	92.28892448682299	86.8491104862643	83.6218868938866	71.20901975531132	67.64063492800213	15.9
b1_03_kleinflugzeug_w20.wav	u:	112	2.664	235.75415236186828	333.385	1203.459	2981.461	109.08055268997062	98.42134421821616	82.22951653754424	105.6885697609639	81.70912056632496	105.44551987299238	67.74120573918131	52.78061391097712	-2.858
b1_03_kleinflugzeug_w20.wav	i:	113	3.502	217.81217895512845	318.83	2609.552	3246.686	117.1478520254725	108.5832808103177	88.93170958726905	107.09809456126487	88.72404594546182	64.53518054071995	62.28275789684851	50.86494324812474	17.492
b1_03_kleinflugzeug_w20.wav	a:	114	3.841	201.0048059490756	938.914	1756.661	2675.596	111.57632820877441	101.82188902466385	99.65672779140912	100.19500020450369	95.29566348136635	75.94730338414993	94.36465701125687	70.80058541187756	19.356
